config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A073,157.02471078,157.02471078,31.067916315,31.067916315,28.8431153,28.8431153
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A079,43.4583,43.4583,27.730249865,27.730249865,28.308072740000004,28.308072740000004
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A074,88.35041777,88.35041777,26.659543135,26.659543135,28.489662940000002,28.489662940000002
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A075,137.07299879,137.07299879,23.20695669,23.20695669,27.319671645000003,27.319671645000003
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A076,120.29291214,120.29291214,28.04341981,28.04341981,29.062436185000003,29.062436185000003
no_suit,male,young,slim,10,neutral_stoop_down_R_001__A077,145.2078074,145.2078074,40.24818315499999,40.24818315499999,33.650412970000005,33.650412970000005
no_suit,male,young,slim,10,neutral_stoop_down_R_001__A078,84.56539587,84.56539587,22.201704245000002,22.201704245000002,27.571031685,27.571031685
no_suit,male,young,slim,10,neutral_stoop_down_R_001__A080,90.68442465000001,90.68442465000001,30.01881059,30.01881059,28.637694465000003,28.637694465000003
no_suit,male,young,slim,10,neutral_stoop_down_R_001__A081,87.08543122,87.08543122,22.11941077,22.11941077,27.256502365000003,27.256502365000003
no_suit,male,young,slim,10,neutral_stoop_down_R_002__A082,60.76128912,60.76128912,28.1914834,28.1914834,28.67846531,28.67846531
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A073,200.48301078,200.48301078,45.782916315,45.782916315,53.36811530000001,53.36811530000001
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A079,86.9166,86.9166,42.445249865,42.445249865,52.833072740000006,52.833072740000006
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A074,131.80871777,131.80871777,41.374543134999996,41.374543134999996,53.01466294000001,53.01466294000001
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A075,180.53129879,180.53129879,37.92195669,37.92195669,51.844671645000005,51.844671645000005
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A076,163.75121214,163.75121214,42.75841981,42.75841981,53.587436185,53.587436185
no_suit,male,young,slim,20,neutral_stoop_down_R_001__A077,188.6661074,188.6661074,54.963183154999996,54.963183154999996,58.175412970000004,58.175412970000004
no_suit,male,young,slim,20,neutral_stoop_down_R_001__A078,128.02369587,128.02369587,36.916704245,36.916704245,52.09603168500001,52.09603168500001
no_suit,male,young,slim,20,neutral_stoop_down_R_001__A080,134.14272465,134.14272465,44.733810590000004,44.733810590000004,53.162694465,53.162694465
no_suit,male,young,slim,20,neutral_stoop_down_R_001__A081,130.54373122,130.54373122,36.83441077,36.83441077,51.781502365,51.781502365
no_suit,male,young,slim,20,neutral_stoop_down_R_002__A082,104.21958912,104.21958912,42.9064834,42.9064834,53.203465310000006,53.203465310000006
no_suit,male,young,slim,30,neutral_stoop_down_R_002__A073,243.94131077999998,243.94131077999998,60.497916315000005,60.497916315000005,77.8931153,77.8931153
