sex,age,body_type,load_kg,suit_force_n,lumbar_peak_mean,lumbar_peak_std,lumbar_mean_mean,lumbar_mean_std,lumbar_ext_peak_mean,lumbar_ext_peak_std,lumbar_ext_mean_mean,lumbar_ext_mean_std,lumbar_ext_loaded_peak_mean,lumbar_ext_loaded_peak_std,lumbar_ext_loaded_mean_mean,lumbar_ext_loaded_mean_std,lumbar_bio_ext_peak_mean,lumbar_bio_ext_peak_std,lumbar_bio_ext_mean_mean,lumbar_bio_ext_mean_std,hip_r_peak_mean,hip_r_peak_std,hip_r_mean_mean,hip_r_mean_std,hip_l_peak_mean,hip_l_peak_std,hip_l_mean_mean,hip_l_mean_std,knee_r_peak_mean,knee_r_peak_std,knee_r_mean_mean,knee_r_mean_std,shoulder_r_peak_mean,shoulder_r_peak_std,shoulder_r_mean_mean,shoulder_r_mean_std,shoulder_l_peak_mean,shoulder_l_peak_std,shoulder_l_mean_mean,shoulder_l_mean_std,elbow_r_peak_mean,elbow_r_peak_std,elbow_r_mean_mean,elbow_r_mean_std,elbow_l_peak_mean,elbow_l_peak_std,elbow_l_mean_mean,elbow_l_mean_std
female,middle,avg,10,0,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,10,50,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,89.975658059,34.55220776490049,46.269717137642274,21.025990016543183,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,10,100,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,84.225658059,34.55220776490049,43.64028098853208,21.728947091465482,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,10,150,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,78.475658059,34.55220776490049,40.95577095158033,22.18868633293544,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,10,200,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,95.725658059,34.55220776490049,48.844353978392284,19.719559435690464,72.725658059,34.55220776490049,38.66031004335785,21.925479410081472,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,20,0,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,20,50,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,133.433958059,34.55220776490048,47.80019993073704,13.610975192266675,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,20,100,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,127.68395805899999,34.55220776490048,48.86823903405137,15.309614260266825,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,20,150,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,121.93395805899999,34.55220776490048,49.664855500318275,16.892443198699773,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
female,middle,avg,20,200,179.247154161,25.44317046806068,84.57931220716601,7.085044490536788,52.931959884,33.3356156007748,28.16915460090498,18.333208441186564,139.183958059,34.55220776490048,46.77280582570127,12.583094504192287,116.18395805899999,34.55220776490049,50.01972404502267,18.851346068788338,2778.634474514,1891.1420650263333,597.0821958268355,122.87093183532168,2569.188443817,1261.9703284833,996.8837094010981,47.91994073445383,2382.89124533,1884.694759173773,325.2843480769024,41.47248994887309,12.517190412,7.125594633665117,2.9485235668722916,0.9277471905534297,13.102736063,4.8359987091685515,3.4542280637564944,1.1979915966160035,4.000874625,3.104278978453152,0.9610487051201158,0.2694476726030852,4.24039479,1.1065158220896856,0.9439422749229258,0.13553212078467936
